站点id	站点编码	时间	Code_StationType	TVOC（ppb）	温度	湿度
12795	XH8012016082300391	2020/6/1 0:00	99	1	18	73
12796	XH8012016082300391	2020/6/1 0:01	99	19	18	72
12797	XH8012016082300391	2020/6/1 0:02	99	19	18	71
12798	XH8012016082300391	2020/6/1 0:03	99	19	18	72
12799	XH8012016082300391	2020/6/1 0:04	99	3	18	72
12800	XH8012016082300391	2020/6/1 0:05	99	2	18	71
12801	XH8012016082300391	2020/6/1 0:06	99	1	18	72
12802	XH8012016082300391	2020/6/1 0:07	99	3	18	71
12803	XH8012016082300391	2020/6/1 0:08	99	5	18	72
12804	XH8012016082300391	2020/6/1 0:09	99	3	18	72
12805	XH8012016082300391	2020/6/1 0:10	99	5	18	72
12806	XH8012016082300391	2020/6/1 0:11	99	4	18	71
12807	XH8012016082300391	2020/6/1 0:12	99	4	18	72
