站点id,站点编码,时间,Code_StationType,温度,湿度,TVOC
12795,XH8012016082300391,2020/6/1 0:05,99,18,71,2
12969,XH8012016082300344,2020/6/8 13:40,99,39,45,217
12997,XH8012016082300402,2020/6/6 13:49,99,33,47,56
12998,XH8012016082300334,2020/6/8 14:29,99,41,36,123
13011,XH8012016082300351,2020/6/4 18:16,99,26,39,50
13094,XH8012016082300401,2020/6/6 4:38,99,18,75,17
13113,XH8012016082300367,2020/6/6 14:09,100,30,51,243
13129,XH8012016082300355,2020/6/2 4:46,100,18,83,260
13143,XH8012016010100185,2020/6/8 8:59,100,32,57,216
13207,XH8012016082300362,2020/6/8 23:51,100,26,79,8
13429,XH8012016082300357,2020/6/2 7:12,100,20,95,59
14252,XH8012016082300395,2020/6/1 13:21,100,30,36,62
