站点id,站点编码,时间,Code_StationType,TVOC,温度,湿度
12795,XH8012016082300391,2020/6/1 0:00,99,1,18,73
12795,XH8012016082300391,2020/6/1 6:00,99,18,14,96
12795,XH8012016082300391,2020/6/1 12:00,99,85,29,54
12795,XH8012016082300391,2020/6/1 18:00,99,108,28,58
12969,XH8012016082300344,2020/6/1 0:00,99,176,22,58
12969,XH8012016082300344,2020/6/1 6:00,99,122,21,63
12969,XH8012016082300344,2020/6/1 12:00,99,184,30,44
12969,XH8012016082300344,2020/6/1 18:00,99,128,27,47
13018,XH8012016082300382,2020/6/1 0:00,99,149,16,61
13018,XH8012016082300382,2020/6/1 6:00,99,3,14,86
13018,XH8012016082300382,2020/6/1 12:00,99,528,32,27
13018,XH8012016082300382,2020/6/1 18:00,99,476,30,29
