Ê±¶Î,SO2,CO,NO2,O3-1H,PM10,PM2.5
2020/6/1 0:00,9.00,0.40,63.00,22.00,33.00,18.00
2020/6/1 1:00,10.00,0.50,65.00,19.00,30.00,18.00
2020/6/1 2:00,12.00,0.50,90.00,2.00,31.00,18.00
2020/6/1 3:00,9.00,0.50,87.00,2.00,38.00,20.00
2020/6/1 4:00,8.00,0.70,75.00,2.00,42.00,22.00
2020/6/1 5:00,9.00,0.80,75.00,3.00,63.00,25.00
2020/6/1 6:00,13.00,0.70,74.00,7.00,75.00,26.00
2020/6/1 7:00,12.00,0.70,83.00,13.00,62.00,24.00
2020/6/1 8:00,13.00,0.60,56.00,57.00,42.00,22.00
2020/6/1 9:00,8.00,0.40,38.00,86.00,33.00,9.00
2020/6/1 10:00,9.00,0.60,33.00,102.00,58.00,24.00
2020/6/1 11:00,7.00,0.50,21.00,136.00,53.00,27.00
2020/6/1 12:00,7.00,0.50,20.00,146.00,51.00,28.00
2020/6/1 13:00,6.00,0.30,13.00,153.00,49.00,27.00
2020/6/1 14:00,9.00,0.50,24.00,197.00,49.00,28.00
2020/6/1 15:00,12.00,0.60,25.00,184.00,60.00,29.00
2020/6/1 16:00,14.00,0.60,23.00,203.00,78.00,27.00
2020/6/1 17:00,10.00,0.40,26.00,185.00,82.00,26.00
