Ê±¶Î,SO2,CO,NO2,O3-1H,PM10,PM2.5,NO,NOX,Êª¶È,ÎÂ¶È
2020/6/1 0:00,9.00,0.40,63.00,22.00,33.00,18.00,4.00,70.00,38.00,17.80
2020/6/1 0:05,9.00,0.40,60.00,23.00,29.00,18.00,4.00,67.00,39.00,17.80
2020/6/1 0:10,8.00,0.40,61.00,21.00,29.00,18.00,4.00,68.00,37.00,17.90
2020/6/1 0:15,8.00,0.40,60.00,21.00,29.00,18.00,4.00,67.00,36.00,17.90
2020/6/1 0:20,8.00,0.40,59.00,23.00,29.00,18.00,4.00,64.00,36.00,18.00
2020/6/1 0:25,8.00,0.40,57.00,24.00,29.00,18.00,4.00,62.00,35.00,18.10
2020/6/1 0:30,8.00,0.40,55.00,27.00,29.00,18.00,3.00,60.00,34.00,18.30
2020/6/1 0:35,9.00,0.40,55.00,24.00,29.00,18.00,3.00,59.00,34.00,18.60
2020/6/1 0:40,11.00,0.40,59.00,21.00,29.00,18.00,4.00,64.00,33.00,18.80
2020/6/1 0:45,11.00,0.40,64.00,17.00,29.00,18.00,4.00,70.00,33.00,19.10
2020/6/1 0:50,11.00,0.40,66.00,19.00,29.00,18.00,4.00,71.00,32.00,19.10
2020/6/1 0:55,10.00,0.40,65.00,19.00,29.00,18.00,4.00,71.00,32.00,19.20
2020/6/1 1:00,10.00,0.50,65.00,19.00,30.00,18.00,4.00,71.00,33.00,19.20
2020/6/1 1:05,10.00,0.50,67.00,17.00,30.00,17.00,4.00,73.00,33.00,19.20
2020/6/1 1:10,11.00,0.50,73.00,10.00,30.00,17.00,5.00,79.00,34.00,19.20
2020/6/1 1:15,10.00,0.50,79.00,5.00,30.00,17.00,5.00,86.00,35.00,19.30
2020/6/1 1:20,12.00,0.50,82.00,6.00,30.00,17.00,5.00,89.00,35.00,19.30
2020/6/1 1:25,14.00,0.50,82.00,5.00,30.00,17.00,5.00,91.00,36.00,19.30
2020/6/1 1:30,14.00,0.50,83.00,5.00,30.00,17.00,6.00,92.00,36.00,19.30
2020/6/1 1:35,14.00,0.50,83.00,4.00,30.00,17.00,6.00,93.00,37.00,19.30
2020/6/1 1:40,14.00,0.50,85.00,4.00,30.00,17.00,6.00,95.00,37.00,19.40
2020/6/1 1:45,14.00,0.50,86.00,3.00,30.00,17.00,8.00,98.00,37.00,19.30
